NA.;NA..1;NA..2;NA..3;NA..4;NA..5
Communications technology;Communication equipment;Auditory displays;Transceivers;;
Communications technology;Communication equipment;Auditory displays;Transceivers;Radio transceivers;
Communications technology;Communication equipment;Auditory displays;Transmitters;;
Communications technology;Communication equipment;Auditory displays;Transmitters;Auxiliary transmitters;
Communications technology;Communication equipment;Auditory displays;Transmitters;Diversity methods;
Communications technology;Communication equipment;Auditory displays;Transmitters;Neurotransmitters;
Communications technology;Communication equipment;Auditory displays;Transmitters;Optical transmitters;
Communications technology;Communication equipment;Auditory displays;Transmitters;Radio transmitters;
Communications technology;Communication equipment;Auditory displays;Transmitters;Transmitting antennas;
Communications technology;Communication equipment;Auditory displays;Transponders;;
Communications technology;Communication equipment;Auditory displays;TV equipment;;
Communications technology;Communication equipment;Auditory displays;TV equipment;Large screen displays;
Communications technology;Communication equipment;Auditory displays;TV equipment;TV receivers;
Communications technology;Communication equipment;Auditory displays;Video codecs;;
Communications technology;Communication equipment;Auditory displays;Video equipment;;
Communications technology;Communication equipment;Auditory displays;Video equipment;Optical projectors;
Communications technology;Communication equipment;Auditory displays;Video equipment;Video codecs;
Communications technology;Communication equipment;Auditory displays;Video equipment;Videos;
Communications technology;Communication equipment;Auditory displays;Vocoders;;
Communications technology;Communication switching;;;;
Communications technology;Communication switching;Code division multiplexing;;;
Communications technology;Communication switching;Code division multiplexing;Electronic switching systems;;
Communications technology;Communication switching;Code division multiplexing;Frame relay;;
Communications technology;Communication switching;Code division multiplexing;Handover;;
Communications technology;Communication switching;Code division multiplexing;Multiprotocol label switching;;
Communications technology;Communication switching;Code division multiplexing;Packet switching;;
Communications technology;Communication switching;Code division multiplexing;Packet switching;Burst switching;
Communications technology;Communication switching;Code division multiplexing;Packet switching;Frame relay;
Communications technology;Communication switching;Code division multiplexing;Packet switching;Multiprotocol label switching;
Communications technology;Communication switching;Code division multiplexing;Packet switching;Packet loss;
Communications technology;Communication systems;;;;
Communications technology;Communication systems;ARPANET;;;
Communications technology;Communication systems;ARPANET;Biomedical communication;;
Communications technology;Communication systems;ARPANET;Biomedical communication;Biomedical telemetry;
Communications technology;Communication systems;ARPANET;Biomedical communication;Telemedicine;
Communications technology;Communication systems;ARPANET;Broadband communication;;
Communications technology;Communication systems;ARPANET;Broadband communication;B-ISDN;
Communications technology;Communication systems;ARPANET;Broadband communication;Broadband amplifiers;
Communications technology;Communication systems;ARPANET;Communication networks;;
Communications technology;Communication systems;ARPANET;Communication networks;Central office;
Communications technology;Communication systems;ARPANET;Communication networks;Cyberspace;
Communications technology;Communication systems;ARPANET;Communication networks;Industrial communication;
Communications technology;Communication systems;ARPANET;Communication networks;Maritime communications;
Communications technology;Communication systems;ARPANET;Communication networks;Radio access technologies;
Communications technology;Communication systems;ARPANET;Communication networks;Relay networks;
Communications technology;Communication systems;ARPANET;Communication networks;Telecommunication network performance;
Communications technology;Communication systems;ARPANET;Communication networks;Virtual links;
Communications technology;Communication systems;ARPANET;Communication system control;;
Communications technology;Communication systems;ARPANET;Communication system control;Telecommunication control;
Communications technology;Communication systems;ARPANET;Communication system security;;
Communications technology;Communication systems;ARPANET;Communication system security;Denial-of-service attack;
Communications technology;Communication systems;ARPANET;Communication system security;Impersonation attacks;
Communications technology;Communication systems;ARPANET;Communication system security;Quantum key distribution;
Communications technology;Communication systems;ARPANET;Communication system security;Radio communication countermeasures;
Communications technology;Communication systems;ARPANET;Communication system signaling;;
Communications technology;Communication systems;ARPANET;Communication system signaling;Received signal strength indicator;
Communications technology;Communication systems;ARPANET;Communication system software;;
Communications technology;Communication systems;ARPANET;Communication system software;Streaming media;
Communications technology;Communication systems;ARPANET;Communication system traffic;;
Communications technology;Communication systems;ARPANET;Communication system traffic control;;
Communications technology;Communication systems;ARPANET;Computer networks;;
Communications technology;Communication systems;ARPANET;Computer networks;Ad hoc networks;
Communications technology;Communication systems;ARPANET;Computer networks;Computer network management;
Communications technology;Communication systems;ARPANET;Computer networks;Content distribution networks;
Communications technology;Communication systems;ARPANET;Computer networks;Cyberspace;
Communications technology;Communication systems;ARPANET;Computer networks;Diffserv networks;
Communications technology;Communication systems;ARPANET;Computer networks;Domain Name System;
Communications technology;Communication systems;ARPANET;Computer networks;Ethernet;
Communications technology;Communication systems;ARPANET;Computer networks;Heterogeneous networks;
Communications technology;Communication systems;ARPANET;Computer networks;Internet;
Communications technology;Communication systems;ARPANET;Computer networks;Intserv networks;
Communications technology;Communication systems;ARPANET;Computer networks;IP networks;
Communications technology;Communication systems;ARPANET;Computer networks;Metropolitan area networks;
Communications technology;Communication systems;ARPANET;Computer networks;Multiprocessor interconnection networks;
Communications technology;Communication systems;ARPANET;Computer networks;Network function virtualization;
Communications technology;Communication systems;ARPANET;Computer networks;Network servers;
Communications technology;Communication systems;ARPANET;Computer networks;Next generation networking;
Communications technology;Communication systems;ARPANET;Computer networks;Overlay networks;
Communications technology;Communication systems;ARPANET;Computer networks;Peer-to-peer computing;
Communications technology;Communication systems;ARPANET;Computer networks;Software defined networking;
Communications technology;Communication systems;ARPANET;Computer networks;Storage area networks;
Communications technology;Communication systems;ARPANET;Computer networks;Token networks;
Communications technology;Communication systems;ARPANET;Computer networks;Unicast;
Communications technology;Communication systems;ARPANET;Computer networks;Virtual private networks;
Communications technology;Communication systems;ARPANET;Computer networks;Wide area networks;
Communications technology;Communication systems;ARPANET;Computer networks;Wireless access points;
Communications technology;Communication systems;ARPANET;Cross layer design;;
Communications technology;Communication systems;ARPANET;Data buses;;
Communications technology;Communication systems;ARPANET;Data buses;Backplanes;
Communications technology;Communication systems;ARPANET;Data communication;;
Communications technology;Communication systems;ARPANET;Data communication;Asynchronous communication;
Communications technology;Communication systems;ARPANET;Data communication;Asynchronous transfer mode;
Communications technology;Communication systems;ARPANET;Data communication;Data buses;
Communications technology;Communication systems;ARPANET;Data communication;Data transfer;
Communications technology;Communication systems;ARPANET;Data communication;Telecommunication buffers;
Communications technology;Communication systems;ARPANET;Data communication;Telemetry;
Communications technology;Communication systems;ARPANET;Data communication;Teleprinting;
Communications technology;Communication systems;ARPANET;Data communication;Visible light communication;
Communications technology;Communication systems;ARPANET;Device-to-device communication;;
Communications technology;Communication systems;ARPANET;Digital communication;;
Communications technology;Communication systems;ARPANET;Digital communication;Baseband;
Communications technology;Communication systems;ARPANET;Digital communication;DICOM;
Communications technology;Communication systems;ARPANET;Digital communication;Digital audio broadcasting;
Communications technology;Communication systems;ARPANET;Digital communication;Digital images;
Communications technology;Communication systems;ARPANET;Digital communication;Digital multimedia broadcasting;
Communications technology;Communication systems;ARPANET;Digital communication;Digital video broadcasting;
Communications technology;Communication systems;ARPANET;Digital communication;DSL;
Communications technology;Communication systems;ARPANET;Digital communication;ISDN;
Communications technology;Communication systems;ARPANET;Digital communication;Passband;
Communications technology;Communication systems;ARPANET;Digital communication;Portable media players;
Communications technology;Communication systems;ARPANET;Digital communication;SONET;
Communications technology;Communication systems;ARPANET;Digital communication;Spread spectrum communication;
Communications technology;Communication systems;ARPANET;Duplex communication systems;;
Communications technology;Communication systems;ARPANET;Duplex communication systems;Full-duplex system;
Communications technology;Communication systems;ARPANET;Duplex communication systems;Half-duplex system;
Communications technology;Communication systems;ARPANET;Facsimile;;
Communications technology;Communication systems;ARPANET;FDDI;;
Communications technology;Communication systems;ARPANET;Indoor communication;;
Communications technology;Communication systems;ARPANET;Indoor communication;Indoor environment;
Communications technology;Communication systems;ARPANET;Internet;;
Communications technology;Communication systems;ARPANET;Internet;Bot (Internet);
Communications technology;Communication systems;ARPANET;Internet;Botnet;
Communications technology;Communication systems;ARPANET;Internet;Cloud computing;
